date,new_cases,total_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,AY.4.2,B.1.1.529,B.1.1.7,B.1.1.7+E484K,B.1.351,B.1.427/B.1.429,B.1.525,B.1.526,B.1.616,B.1.617,B.1.617.1,B.1.617.2,B.1.617.3,B.1.620,B.1.621,B.1.640,C.1.2,C.37,P.1,P.3,UNK,Other
2020-04-11,395,10448,516.571,887,17,73.429,1028.33,38.877,50.843,87.302,1.673,7.227,1.23,494,48.621,2054,202.162,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-12,464,10912,534.286,899,12,71.143,1073.999,45.669,52.586,88.483,1.181,7.002,1.21,504,49.606,2104,207.083,0,0,0,0,0,0,0,0,0,0,64.81,582.6,2.02,47.96,57.34162231,,,,,,,,,,,,,,,,,,,,,,
2020-04-13,437,11349,541.143,919,20,63.143,1117.01,43.011,53.261,90.451,1.968,6.215,1.19,517,50.885,2175,214.071,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-14,479,11828,504.143,1033,114,63.143,1164.155,47.145,49.62,101.672,11.22,6.215,1.17,518,50.983,2199,216.434,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-15,604,12432,496.857,1203,170,73.714,1223.603,59.448,48.902,118.404,16.732,7.255,1.16,526,51.771,2228,219.288,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-16,623,13055,493.714,1333,130,77.143,1284.921,61.318,48.593,131.199,12.795,7.593,1.16,522,51.377,2228,219.288,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-17,688,13743,527.143,1400,67,75.714,1352.636,67.715,51.883,137.793,6.594,7.452,1.15,516,50.787,2265,222.93,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-18,532,14275,546.714,1511,111,89.143,1404.998,52.361,53.81,148.718,10.925,8.774,1.15,526,51.771,2219,218.402,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-19,388,14663,535.857,1540,29,91.571,1443.186,38.188,52.741,151.572,2.854,9.013,1.14,513,50.491,2275,223.914,0,0,0,0,0,0,0,0,0,0,64.81,1372.2,4.49,44.31,135.0569415,,,,,,,,,,,,,,,,,,,,,,
2020-04-20,461,15124,539.286,1580,40,94.429,1488.559,45.373,53.078,155.509,3.937,9.294,1.13,539,53.05,2319,228.244,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-21,707,15831,571.857,1765,185,104.571,1558.145,69.586,56.284,173.718,18.208,10.292,1.12,520,51.18,2233,219.78,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-22,722,16553,588.714,1937,172,104.857,1629.207,71.062,57.943,190.647,16.929,10.32,1.11,515,50.688,2240,220.469,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
2020-04-23,758,17311,608,2021,84,98.286,1703.812,74.605,59.842,198.914,8.268,9.674,1.1,539,53.05,2243,220.764,0,0,0,0,0,0,0,0,0,0,64.81,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,
