date,new_cases,total_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,new_tests,total_tests,new_tests_smoothed,positive_rate,tests_per_case,total_vaccinations,people_vaccinated,people_fully_vaccinated,new_vaccinations_smoothed,new_people_vaccinated_smoothed,stringency_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million,B.1.1.7,B.1.617.2,B.1.1.529,Other,C1_School closing,C2_Workplace closing,C3_Cancel public events,C4_Restrictions on gatherings,C5_Close public transport,C6_Stay at home requirements,C7_Restrictions on internal movement,C8_International travel controls,E1_Income support,E2_Debt/contract relief,H1_Public information campaigns,H2_Testing policy,H3_Contact tracing,H6_Facial Coverings,H7_Vaccination policy,H8_Protection of elderly people,ConfirmedCases,ConfirmedDeaths,StringencyIndex,StringencyIndexForDisplay,StringencyLegacyIndex,StringencyLegacyIndexForDisplay,GovernmentResponseIndex,GovernmentResponseIndexForDisplay,ContainmentHealthIndex,ContainmentHealthIndexForDisplay,EconomicSupportIndex,EconomicSupportIndexForDisplay
2020-07-27,71,75932,179.429,5697,0,11.143,0.88,48,4.724,298,7576,301919,8332,0.0215,46.4,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,75932,5697,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-28,283,76215,187.571,5702,5,8,0.91,46,4.527,298,7576,309495,8206,0.0229,43.7,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,76215,5702,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-29,301,76516,188.143,5730,28,9,0.94,39,3.839,284,7576,317071,8080,0.0233,42.9,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,76516,5730,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-30,302,76818,199.857,5739,9,9,0.96,35,3.445,258,7576,324647,7954,0.0251,39.8,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,76818,5739,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-07-31,258,77076,199.286,5743,4,6.571,0.98,33,3.248,258,7576,332223,7828,0.0255,39.3,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,77076,5743,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-08-01,303,77379,222.857,5743,0,6.571,1,33,3.248,267,7576,339799,7702,0.0289,34.6,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,77379,5743,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-08-02,38,77417,222.286,5743,0,6.571,1.01,35,3.445,264,7576,347375,7576,0.0293,34.1,,,,,,59.26,4939.4,9.05,-0.39,486.1538092,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,77417,5743,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-08-03,165,77582,235.714,5743,0,6.571,1.03,34,3.346,243,7682,355057,7591,0.0311,32.2,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,77582,5743,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-08-04,334,77916,243,5747,4,6.429,1.04,34,3.346,236,7682,362739,7606,0.0319,31.3,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,77916,5747,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
2020-08-05,425,78341,260.714,5760,13,4.286,1.05,33,3.248,227,7682,370421,7621,0.0342,29.2,,,,,,59.26,,,,,,,,,2,1,2,3,1,1,0,3,2,1,2,2,1,0,0,3,78341,5760,59.26,59.26,73.81,73.81,54.69,54.69,53.57,53.57,62.5,62.5
