date,cases,total cases,death,total death,intensive care,hosp_patients,airplane passengers monthly average,min temp,max temp,school closures,retail and recreation,grocery and pharmacy,residential,transit stations,parks,workplaces,total doses,total new doses,total vaccinated,cancel public events,stringency index,stay home requirements,face coverings,public information campaigns,close public transport,international travel control,testing policy,Workplace closing,Restrictions on gatherings,Restrictions on internal movement,International travel controls,Income support,Debt/contract relief,Contact tracing,Vaccination policy,GovernmentResponseIndex,ContainmentHealthIndex,EconomicSupportIndex
2021-03-10,5917,701892,46,13088,18,1472,3311,-5.8,-3.2,2,-23.286,-6.143,9.143,-41,20.429,-24,1157692,31.709,794.84,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,60.05,63.27,37.5
2021-03-11,5300,707192,23,13111,21,1457,3311,-0.4,2.6,2,-24.857,-7.429,9.429,-41.429,14,-24,1189401,31.709,820.886,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,60.05,63.27,37.5
2021-03-12,5335,712527,35,13146,20,1496,3311,2.2,5.2,2,-25.429,-7.429,9.571,-41.857,9.714,-23.857,1221110,31.709,846.932,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,60.05,63.27,37.5
2021-03-13,0,712527,0,13146,27,1497,3311,1.3,6.4,2,-25.429,-7.143,9.571,-42,8.857,-23.714,1252819,31.709,872.978,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,60.05,63.27,37.5
2021-03-14,0,712527,0,13146,24,1539,3311,0,6,2,-25.143,-7.143,9.571,-42,11.143,-23.571,1284528,31.709,899.025,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,60.05,63.27,37.5
2021-03-15,0,712527,0,13146,27,1643,3311,1.6,8,2,-25.429,-7.429,9.571,-42.286,8.714,-23.143,1309528,25,916.04,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,60.05,63.27,37.5
2021-03-16,12762,725289,26,13172,25,1616,3311,-1,6.9,2,-25,-7.143,9.286,-41.857,13.429,-22.571,1334528,25,933.055,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,60.05,63.27,37.5
2021-03-17,6781,732070,56,13228,21,1585,3311,0,3.7,2,-24.429,-7.143,9.143,-41.571,17.286,-22.143,1359528,25,950.07,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,60.05,63.27,37.5
2021-03-18,6467,738537,8,13236,19,1602,3311,-1.4,4,2,-22.857,-5.571,8.714,-40.857,23.429,-21.429,1384528,25,967.085,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,60.05,63.27,37.5
2021-03-19,5735,744272,26,13262,27,1606,3311,-3.7,1.2,2,-21.857,-5.143,8.429,-40.286,26.857,-20.714,1409528,25,984.1,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,60.05,63.27,37.5
2021-03-20,0,744272,0,13262,28,1607,3311,-0.5,7.6,2,-21.429,-5,8.429,-40,28.714,-20.429,1434528,25,1001115,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,60.05,63.27,37.5
2021-03-21,0,744272,0,13262,19,1620,3311,2.7,6.3,2,-20.857,-4.429,8.286,-39.571,31.286,-20,1459533,25.005,1018131,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,60.05,63.27,37.5
2021-03-22,0,744272,0,13262,29,1729,3311,2.3,9.9,2,-20.429,-4.143,8.143,-39.286,34.286,-19.857,1487965,28.432,1036557,2,69.44,1,2,2,1,3,2,2,4,1,3,2,0,1,2,60.05,63.27,37.5
